Date,Gender,Region,Device Category,Age,Users,Transactions
20221206,male,Ontario,desktop,35-44,45,26
20221208,female,California,desktop,25-34,45,26
20221212,female,California,desktop,25-34,45,34
20221219,male,California,desktop,35-44,45,30
20221220,female,California,desktop,25-34,45,15
20210127,male,California,desktop,25-34,42,4
20210225,male,California,desktop,25-34,42,60
20210329,female,California,desktop,25-34,42,15
20210331,female,California,desktop,25-34,42,60
20210413,female,California,desktop,25-34,42,34
20210430,female,California,desktop,25-34,42,19
20210603,female,California,desktop,25-34,42,60
20210617,male,California,desktop,25-34,42,19
20210629,female,California,desktop,18-24,42,38
20210715,female,California,desktop,18-24,42,49
20210715,male,California,desktop,18-24,42,19
20210726,female,California,desktop,18-24,42,19
20210726,male,California,desktop,18-24,42,30
20210805,female,California,desktop,25-34,42,11
20210805,male,California,desktop,18-24,42,8
20210809,male,California,desktop,25-34,42,26
20210819,male,Washington,desktop,35-44,42,57
20210825,female,California,desktop,25-34,42,4
20210901,female,California,desktop,25-34,42,15
20210914,male,California,desktop,25-34,42,34
20211004,male,California,desktop,25-34,42,38
20211006,female,California,desktop,25-34,42,11
20211006,male,California,desktop,18-24,42,11
20211008,female,California,desktop,25-34,42,15
20211012,female,California,desktop,25-34,42,23
20211019,male,Washington,desktop,25-34,42,72
20211020,female,California,desktop,25-34,42,53
20211024,male,California,desktop,25-34,42,15
20211027,female,California,desktop,25-34,42,26
20211027,male,California,desktop,35-44,42,26
20211101,male,California,desktop,25-34,42,30
20211103,male,California,desktop,18-24,42,15
20211103,male,California,desktop,25-34,42,0
20211109,female,California,desktop,18-24,42,23
20211115,female,California,desktop,35-44,42,26
20211118,female,California,desktop,18-24,42,45
20211122,male,California,desktop,25-34,42,23
20211123,male,California,desktop,25-34,42,26
20211130,male,California,desktop,35-44,42,38
20211202,male,California,desktop,18-24,42,26
20211203,male,England,mobile,18-24,42,0
20211213,female,California,desktop,25-34,42,19
20211220,female,California,desktop,25-34,42,0
20220119,male,California,desktop,25-34,42,42
20220121,female,California,desktop,25-34,42,19
20220124,male,California,desktop,25-34,42,15
20220208,male,California,desktop,25-34,42,30
20220209,female,California,desktop,25-34,42,23
20220223,male,California,desktop,18-24,42,26
20220302,female,California,desktop,18-24,42,19
20220315,male,California,desktop,18-24,42,15
20220316,male,California,desktop,18-24,42,26
20220317,male,California,desktop,18-24,42,57
20220406,male,England,desktop,18-24,42,8
20220412,male,California,desktop,35-44,42,15
20220413,male,California,desktop,18-24,42,19
20220418,male,California,desktop,25-34,42,30
20220422,male,California,desktop,25-34,42,15
20220425,male,California,desktop,35-44,42,15
20220502,male,California,desktop,35-44,42,8
20220505,male,California,desktop,18-24,42,26
20220507,male,New York,desktop,55-64,42,0
20220510,female,California,desktop,25-34,42,42
20220512,male,New York,desktop,35-44,42,0
20220513,female,California,desktop,25-34,42,15
20220516,female,California,desktop,25-34,42,45
20220516,male,California,desktop,18-24,42,0
20220517,male,California,desktop,25-34,42,19
20220523,male,California,desktop,25-34,42,26
20220531,female,California,desktop,25-34,42,38
20220609,male,California,desktop,25-34,42,0
20220614,female,California,desktop,25-34,42,15
20220615,female,California,desktop,18-24,42,19
20220615,male,California,desktop,25-34,42,15
20220616,male,California,desktop,18-24,42,26
20220616,male,California,desktop,35-44,42,19
20220617,female,California,desktop,25-34,42,15
20220621,male,California,desktop,25-34,42,11
20220622,female,California,desktop,25-34,42,8
20220627,female,California,desktop,25-34,42,23
20220706,female,California,desktop,18-24,42,15
20220711,female,California,desktop,18-24,42,34
20220711,male,California,desktop,18-24,42,4
20220711,male,California,desktop,25-34,42,26
20220715,male,California,desktop,25-34,42,38
20220720,female,California,desktop,18-24,42,26
20220727,male,California,desktop,45-54,42,11
20220801,female,California,desktop,25-34,42,26
20220804,male,California,desktop,18-24,42,8
20220818,male,California,desktop,35-44,42,23
20220822,female,California,desktop,18-24,42,42
20220823,male,California,desktop,35-44,42,15
20220824,female,California,desktop,18-24,42,23
20220826,male,California,desktop,18-24,42,49
20220826,male,California,desktop,35-44,42,11
20220909,male,California,desktop,25-34,42,26
20220913,female,California,desktop,25-34,42,34
20220913,male,California,desktop,35-44,42,30
20220919,female,California,desktop,25-34,42,0
20220926,male,Washington,desktop,18-24,42,34
20220926,male,Washington,desktop,35-44,42,42
20220928,female,California,desktop,25-34,42,4
20221004,female,California,desktop,25-34,42,19
20221005,female,California,desktop,35-44,42,4
20221005,male,California,desktop,18-24,42,19
20221012,male,California,desktop,45-54,42,19
20221018,male,California,desktop,25-34,42,4
20221020,female,California,desktop,18-24,42,15
20221025,female,California,desktop,18-24,42,26
20221027,male,California,desktop,25-34,42,15
20221102,male,California,desktop,35-44,42,19
20221103,female,California,desktop,18-24,42,8
20221108,female,California,desktop,35-44,42,26
20221109,male,California,desktop,18-24,42,8
20221110,male,California,desktop,18-24,42,8
20221110,male,California,desktop,25-34,42,30
20221110,male,California,desktop,35-44,42,4
20221114,female,California,desktop,25-34,42,15
20221115,male,California,desktop,25-34,42,19
20221121,female,California,desktop,18-24,42,23
20221201,male,California,desktop,35-44,42,30
20221207,female,California,desktop,35-44,42,23
20221207,male,California,desktop,45-54,42,30
20221208,male,California,desktop,35-44,42,0
20221212,female,California,desktop,18-24,42,19
20221213,female,California,desktop,25-34,42,34
20221214,female,California,desktop,25-34,42,34
20221215,female,California,desktop,25-34,42,30
20210205,male,California,desktop,25-34,38,15
20210218,male,California,desktop,25-34,38,15
20210310,male,Massachusetts,desktop,18-24,38,0
20210315,female,California,desktop,25-34,38,19
20210331,male,California,desktop,25-34,38,8
20210517,male,California,desktop,25-34,38,8
20210603,male,California,desktop,25-34,38,23
20210621,male,California,desktop,25-34,38,23
20210622,male,California,desktop,25-34,38,19
20210708,male,California,desktop,18-24,38,34
20210713,male,California,desktop,25-34,38,49
20210716,male,Washington,desktop,25-34,38,26
20210722,male,California,desktop,45-54,38,19
20210816,male,California,desktop,25-34,38,23
20210819,female,California,desktop,25-34,38,23
20210820,male,Washington,desktop,25-34,38,57
20210823,female,California,desktop,18-24,38,19
20210824,female,California,desktop,25-34,38,4
20210902,female,California,desktop,25-34,38,23
20210903,male,California,desktop,25-34,38,8
20211025,male,California,desktop,35-44,38,15
20211027,female,California,desktop,18-24,38,26
20211029,female,California,desktop,18-24,38,11
20211101,female,California,desktop,25-34,38,42
20211109,female,California,desktop,35-44,38,26
20211110,female,California,desktop,25-34,38,15
20211111,male,California,desktop,18-24,38,15
20211118,female,California,desktop,25-34,38,11
20211118,male,California,desktop,18-24,38,8
20211119,male,California,desktop,35-44,38,45
20211123,male,England,desktop,25-34,38,4
20211123,male,California,desktop,18-24,38,45
20211129,male,California,desktop,35-44,38,15
20211130,male,California,desktop,18-24,38,19
20211203,male,California,desktop,35-44,38,23
20211206,female,California,desktop,25-34,38,30
20211207,female,California,desktop,25-34,38,19
20211209,male,California,desktop,18-24,38,19
20211210,male,California,desktop,25-34,38,30
20211213,male,California,desktop,35-44,38,8
20211220,male,California,desktop,25-34,38,38
20220104,female,California,desktop,25-34,38,15
20220104,male,California,desktop,35-44,38,15
20220112,male,California,desktop,25-34,38,19
20220118,female,California,desktop,25-34,38,11
20220125,male,California,desktop,25-34,38,26
20220201,male,California,desktop,35-44,38,15
20220203,male,California,desktop,25-34,38,11
20220209,female,California,desktop,18-24,38,15
20220215,female,California,desktop,18-24,38,30
20220216,female,California,desktop,18-24,38,4
20220216,male,California,desktop,25-34,38,34
20220315,female,California,desktop,25-34,38,15
20220316,female,California,desktop,18-24,38,34
20220406,female,California,desktop,18-24,38,11
20220407,male,England,desktop,25-34,38,30
20220413,male,California,desktop,25-34,38,11
20220419,female,California,desktop,18-24,38,26
20220427,male,California,desktop,25-34,38,8
20220427,male,California,desktop,35-44,38,4
20220428,female,California,desktop,25-34,38,15
20220429,male,California,desktop,25-34,38,19
20220502,male,California,desktop,18-24,38,30
20220503,male,California,desktop,35-44,38,23
20220505,female,California,desktop,18-24,38,15
20220507,female,New York,desktop,35-44,38,0
20220509,female,California,desktop,18-24,38,4
20220510,male,California,desktop,25-34,38,30
20220511,male,New York,desktop,18-24,38,0
20220511,male,California,desktop,18-24,38,0
20220511,male,California,desktop,35-44,38,30
20220515,female,New York,desktop,18-24,38,0
20220518,female,California,desktop,25-34,38,38
20220524,male,California,desktop,18-24,38,8
20220524,male,California,desktop,35-44,38,15
20220525,female,California,desktop,25-34,38,19
20220525,male,California,desktop,18-24,38,19
20220525,male,California,desktop,35-44,38,8
20220526,female,California,desktop,18-24,38,15
20220601,female,California,desktop,18-24,38,0
20220601,female,California,desktop,25-34,38,19
20220603,female,California,desktop,25-34,38,60
20220606,male,California,desktop,18-24,38,11
20220609,female,California,desktop,18-24,38,4
20220614,male,California,desktop,18-24,38,8
20220614,male,California,desktop,25-34,38,15
20220615,male,California,desktop,18-24,38,49
20220617,female,California,desktop,18-24,38,26
20220622,male,California,desktop,18-24,38,23
20220623,male,California,desktop,25-34,38,15
20220624,male,California,desktop,25-34,38,19
20220627,male,California,desktop,18-24,38,26
20220629,male,California,desktop,18-24,38,11
20220713,male,California,desktop,35-44,38,8
20220718,female,California,desktop,35-44,38,30
